timestamp,x,y,z,orientation_x,orientation_y,orientation_z,orientation_w
10.55,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
10.8,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
10.8,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
11.05,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
11.05,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
11.3,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
11.3,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
11.3,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
11.55,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
11.55,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
12.05,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
12.55,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
12.55,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
12.8,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
12.8,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
16.1,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
16.1,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
16.85,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
18.1,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
18.35,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
18.6,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
18.6,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
18.85,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
19.6,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
19.85,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
20.1,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
20.35,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
20.35,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
21.35,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
21.6,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
22.35,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
22.35,-0.001,-0.0,-0.01,-0.0,-0.0,0.0,1.0
22.85,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
23.1,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
23.85,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
24.1,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
24.1,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
24.1,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
24.6,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
24.85,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
25.1,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
25.6,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
32.2,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
32.2,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
32.2,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
32.2,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
32.2,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
32.45,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
32.7,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
33.95,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
33.95,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
33.95,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
33.95,-0.002,-0.0,-0.01,-0.0,-0.0,0.0,1.0
