timestamp,x,y,z,orientation_x,orientation_y,orientation_z,orientation_w
0.05,0.001,-0.0,-0.0,-0.0,-0.0,0.0,1.0
0.1,0.008,-0.0,-0.001,0.0,-0.0,0.0,1.0
0.2,0.035,0.0,-0.001,0.0,-0.0,0.0,1.0
0.4,0.15,0.0,-0.003,0.0,-0.001,0.0,1.0
0.55,0.288,0.0,-0.004,0.0,-0.001,0.0,1.0
0.8,0.538,0.0,-0.006,0.0,-0.001,0.0,1.0
1.35,1.088,0.0,-0.009,0.0,-0.001,0.0,1.0
1.6,1.338,0.0,-0.01,-0.0,-0.0,0.0,1.0
2.2,1.937,0.0,-0.01,-0.0,-0.0,0.0,1.0
2.2,1.938,0.0,-0.01,-0.0,-0.0,0.0,1.0
2.45,2.187,0.0,-0.01,-0.0,-0.0,0.0,1.0
2.7,2.437,0.0,-0.01,-0.0,-0.0,0.0,1.0
2.95,2.687,0.0,-0.01,-0.0,-0.0,0.0,1.0
3.2,2.937,0.001,-0.01,-0.0,-0.0,0.0,1.0
4.15,3.886,0.001,-0.01,-0.0,-0.0,0.0,1.0
4.4,4.136,0.001,-0.01,-0.0,-0.0,0.0,1.0
4.65,4.386,0.001,-0.01,-0.0,0.0,0.0,1.0
4.9,4.636,0.001,-0.01,-0.0,-0.0,0.0,1.0
5.15,4.886,0.001,-0.01,-0.0,-0.0,0.0,1.0
5.4,5.136,0.001,-0.01,-0.0,-0.0,0.0,1.0
5.65,5.385,0.001,-0.01,-0.0,0.0,0.0,1.0
5.9,5.635,0.0,-0.01,-0.0,-0.0,-0.011,1.0
6.15,5.884,-0.021,-0.01,-0.0,0.0,-0.088,0.996
6.4,6.117,-0.095,-0.01,-0.0,0.0,-0.229,0.973
8.05,6.42,-1.525,-0.01,-0.0,-0.0,-0.79,0.613
8.3,6.357,-1.767,-0.01,-0.0,-0.0,-0.792,0.611
8.55,6.293,-2.009,-0.01,-0.0,-0.0,-0.793,0.609
8.8,6.228,-2.25,-0.01,-0.0,-0.0,-0.795,0.607
9.05,6.161,-2.492,-0.01,-0.0,-0.0,-0.796,0.605
9.3,6.093,-2.731,-0.01,-0.0,-0.0,-0.803,0.597
9.55,6.013,-2.968,-0.01,-0.0,-0.0,-0.828,0.56
9.8,5.898,-3.188,-0.01,-0.0,-0.0,-0.887,0.461
9.8,5.898,-3.189,-0.01,-0.0,-0.0,-0.888,0.461
10.05,5.73,-3.369,-0.01,-0.0,0.0,-0.942,0.336
10.3,5.52,-3.504,-0.01,-0.0,0.0,-0.971,0.237
10.3,5.519,-3.504,-0.01,-0.0,0.0,-0.972,0.237
10.55,5.294,-3.609,-0.01,-0.0,-0.0,-0.978,0.206
11.05,4.837,-3.813,-0.01,-0.0,-0.0,-0.978,0.21
11.3,4.609,-3.916,-0.01,-0.0,-0.0,-0.977,0.213
11.55,4.382,-4.02,-0.01,-0.0,-0.0,-0.977,0.215
11.8,4.156,-4.126,-0.01,-0.0,-0.0,-0.976,0.217
12.05,3.93,-4.233,-0.01,-0.0,-0.0,-0.976,0.22
12.3,3.704,-4.34,-0.01,-0.0,-0.0,-0.975,0.222
12.55,3.479,-4.449,-0.01,-0.0,-0.0,-0.975,0.224
12.55,3.478,-4.449,-0.01,-0.0,-0.0,-0.975,0.224
12.8,3.254,-4.558,-0.01,-0.0,-0.0,-0.974,0.226
16.1,0.334,-6.092,-0.01,-0.0,-0.0,-0.963,0.269
16.35,0.131,-6.237,-0.01,-0.0,-0.0,-0.935,0.355
16.6,-0.03,-6.423,-0.01,-0.0,-0.0,-0.877,0.48
17.1,-0.171,-6.885,-0.01,0.0,-0.001,-0.712,0.702
17.35,-0.14,-7.127,-0.009,0.001,-0.001,-0.604,0.797
17.6,-0.042,-7.35,-0.009,0.002,-0.001,-0.481,0.877
17.85,0.117,-7.535,-0.008,0.004,-0.002,-0.35,0.937
18.1,0.322,-7.667,-0.008,0.005,-0.001,-0.215,0.977
18.35,0.555,-7.738,-0.008,0.004,-0.001,-0.076,0.997
18.35,0.556,-7.738,-0.008,0.004,-0.001,-0.075,0.997
18.6,0.8,-7.74,-0.009,0.002,0.0,0.068,0.998
18.85,1.039,-7.672,-0.01,0.001,0.0,0.199,0.98
19.1,1.262,-7.556,-0.01,0.0,0.0,0.266,0.964
19.35,1.474,-7.426,-0.01,0.0,0.0,0.273,0.962
19.6,1.687,-7.294,-0.01,0.0,-0.0,0.274,0.962
19.85,1.899,-7.162,-0.01,0.0,-0.0,0.275,0.961
20.1,2.111,-7.03,-0.01,-0.0,-0.0,0.276,0.961
20.35,2.323,-6.897,-0.01,-0.0,-0.0,0.276,0.961
20.6,2.534,-6.764,-0.01,-0.0,-0.0,0.277,0.961
20.85,2.746,-6.631,-0.01,-0.0,-0.0,0.277,0.961
21.1,2.957,-6.498,-0.01,-0.0,-0.0,0.278,0.961
21.35,3.169,-6.364,-0.01,-0.0,-0.0,0.279,0.96
21.6,3.38,-6.231,-0.01,-0.0,-0.0,0.279,0.96
21.85,3.591,-6.096,-0.01,0.0,-0.0,0.28,0.96
22.1,3.802,-5.962,-0.01,-0.0,-0.0,0.28,0.96
22.35,4.012,-5.828,-0.01,-0.0,-0.0,0.281,0.96
22.6,4.223,-5.693,-0.01,-0.0,-0.0,0.281,0.96
22.6,4.224,-5.692,-0.01,-0.0,-0.0,0.281,0.96
23.1,4.643,-5.423,-0.01,-0.0,-0.0,0.282,0.959
23.35,4.856,-5.293,-0.01,-0.0,-0.0,0.245,0.97
23.6,5.087,-5.195,-0.01,-0.0,-0.0,0.136,0.991
23.85,5.333,-5.16,-0.01,-0.0,-0.0,0.003,1.0
24.1,5.579,-5.19,-0.01,-0.0,-0.0,-0.131,0.991
24.35,5.808,-5.286,-0.01,-0.0,-0.0,-0.263,0.965
24.6,6.003,-5.439,-0.01,-0.0,-0.0,-0.389,0.921
24.85,6.152,-5.637,-0.01,-0.0,-0.0,-0.505,0.863
25.1,6.245,-5.867,-0.01,-0.0,-0.0,-0.612,0.791
25.35,6.277,-6.113,-0.01,-0.0,0.0,-0.709,0.705
25.6,6.243,-6.359,-0.009,-0.001,0.001,-0.798,0.603
