states,actions
"[[-0.  0.  0.  0.  0.]
 [-0.  0.  0.  0.  0.]
 [-0.  0.  0.  0.  0.]
 [-0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.]]",[[0.074 0.06 ]]
"[[-0.     0.     0.     0.     0.   ]
 [-0.     0.     0.     0.     0.   ]
 [-0.     0.     0.     0.     0.   ]
 [ 0.     0.     0.     0.     0.   ]
 [ 0.002  0.     0.     0.     0.002]]",[[0.122 0.114]]
"[[-0.          0.          0.          0.          0.        ]
 [-0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.        ]
 [ 0.002       0.          0.          0.          0.002     ]
 [ 0.004       0.          0.          0.          0.00400001]]",[[0.172 0.16 ]]
"[[-0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.        ]
 [ 0.002       0.          0.          0.          0.002     ]
 [ 0.004       0.          0.          0.          0.00400001]
 [ 0.008       0.          0.          0.          0.00800009]]",[[0.2   0.159]]
"[[0.         0.         0.         0.         0.        ]
 [0.002      0.         0.         0.         0.002     ]
 [0.004      0.         0.         0.         0.00400001]
 [0.008      0.         0.         0.         0.00800009]
 [0.013      0.         0.         0.         0.01200029]]",[[0.201 0.159]]
"[[0.002      0.         0.         0.         0.002     ]
 [0.004      0.         0.         0.         0.00400001]
 [0.008      0.         0.         0.         0.00800009]
 [0.013      0.         0.         0.         0.01200029]
 [0.018      0.         0.         0.         0.01600068]]",[[0.201 0.16 ]]
"[[0.004      0.         0.         0.         0.00400001]
 [0.008      0.         0.         0.         0.00800009]
 [0.013      0.         0.         0.         0.01200029]
 [0.018      0.         0.         0.         0.01600068]
 [0.023      0.         0.         0.         0.02000133]]",[[0.201 0.16 ]]
"[[0.008      0.         0.         0.         0.00800009]
 [0.013      0.         0.         0.         0.01200029]
 [0.018      0.         0.         0.         0.01600068]
 [0.023      0.         0.         0.         0.02000133]
 [0.028      0.         0.         0.         0.0240023 ]]",[[0.201 0.16 ]]
"[[0.013      0.         0.         0.         0.01200029]
 [0.018      0.         0.         0.         0.01600068]
 [0.023      0.         0.         0.         0.02000133]
 [0.028      0.         0.         0.         0.0240023 ]
 [0.032      0.         0.         0.         0.02600293]]",[[0.201 0.16 ]]
"[[0.018      0.         0.         0.         0.01600068]
 [0.023      0.         0.         0.         0.02000133]
 [0.028      0.         0.         0.         0.0240023 ]
 [0.032      0.         0.         0.         0.02600293]
 [0.037      0.001      0.         0.         0.0300045 ]]",[[0.201 0.161]]
"[[0.023      0.         0.         0.         0.02000133]
 [0.028      0.         0.         0.         0.0240023 ]
 [0.032      0.         0.         0.         0.02600293]
 [0.037      0.001      0.         0.         0.0300045 ]
 [0.042      0.001      0.         0.         0.03400655]]",[[0.201 0.162]]
"[[0.028      0.         0.         0.         0.0240023 ]
 [0.032      0.         0.         0.         0.02600293]
 [0.037      0.001      0.         0.         0.0300045 ]
 [0.042      0.001      0.         0.         0.03400655]
 [0.047      0.001      0.         0.         0.03800914]]",[[0.201 0.164]]
"[[0.032      0.         0.         0.         0.02600293]
 [0.037      0.001      0.         0.         0.0300045 ]
 [0.042      0.001      0.         0.         0.03400655]
 [0.047      0.001      0.         0.         0.03800914]
 [0.052      0.001      0.         0.         0.04201234]]",[[0.201 0.165]]
"[[0.037      0.001      0.         0.         0.0300045 ]
 [0.042      0.001      0.         0.         0.03400655]
 [0.047      0.001      0.         0.         0.03800914]
 [0.052      0.001      0.         0.         0.04201234]
 [0.057      0.001      0.         0.         0.04601621]]",[[0.201 0.167]]
"[[0.042      0.001      0.         0.         0.03400655]
 [0.047      0.001      0.         0.         0.03800914]
 [0.052      0.001      0.         0.         0.04201234]
 [0.057      0.001      0.         0.         0.04601621]
 [0.062      0.002      0.         0.         0.05002082]]",[[0.201 0.168]]
"[[0.047      0.001      0.         0.         0.03800914]
 [0.052      0.001      0.         0.         0.04201234]
 [0.057      0.001      0.         0.         0.04601621]
 [0.062      0.002      0.         0.         0.05002082]
 [0.067      0.002      0.         0.         0.05402622]]",[[0.201 0.17 ]]
